Pokemon,Abilities,Base_Experience,Height,ID,Type_1,Type_2,Weight,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Sprites,Base_Pokemon,Evolution_Level_1,Evolution_Level_2
Linoone,Pickup,147.0,5,264,Normal,No Second Type,325,78,70,61,50,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png,Zigzagoon,Linoone,Obstagoon
Wurmple,Shield-Dust,56.0,3,265,Bug,No Second Type,36,45,45,35,20,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png,Wurmple,Silcoon,Beautifly
Silcoon,Shed-Skin,72.0,6,266,Bug,No Second Type,100,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png,Wurmple,Silcoon,Beautifly
Beautifly,Swarm,178.0,10,267,Bug,Flying,284,60,70,50,100,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png,Wurmple,Silcoon,Beautifly
Cascoon,Shed-Skin,72.0,7,268,Bug,No Second Type,115,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Dustox,Shield-Dust,173.0,12,269,Bug,Poison,316,60,50,70,50,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Lotad,Swift-Swim,44.0,5,270,Water,Grass,26,40,30,30,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,Lotad,Lombre,Ludicolo
Lombre,Swift-Swim,119.0,12,271,Water,Grass,325,60,50,50,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,Lotad,Lombre,Ludicolo
Ludicolo,Swift-Swim,240.0,15,272,Water,Grass,550,80,70,70,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,Lotad,Lombre,Ludicolo
Seedot,Chlorophyll,44.0,5,273,Grass,No Second Type,40,40,40,50,30,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,Seedot,Nuzleaf,Shiftry
Nuzleaf,Chlorophyll,119.0,10,274,Grass,Dark,280,70,70,40,60,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,Seedot,Nuzleaf,Shiftry
Shiftry,Chlorophyll,240.0,13,275,Grass,Dark,596,90,100,60,90,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,Seedot,Nuzleaf,Shiftry
Taillow,Guts,54.0,3,276,Normal,Flying,23,40,55,30,30,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,Taillow,Swellow,No Second Evolution
Swellow,Guts,159.0,7,277,Normal,Flying,198,60,85,60,75,50,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,Taillow,Swellow,No Second Evolution
Wingull,Keen-Eye,54.0,6,278,Water,Flying,95,40,30,30,55,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,Wingull,Pelipper,No Second Evolution
Pelipper,Keen-Eye,154.0,12,279,Water,Flying,280,60,50,100,95,70,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,Wingull,Pelipper,No Second Evolution
Ralts,Synchronize,40.0,4,280,Psychic,Fairy,66,28,25,25,45,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,Ralts,Kirlia,Gardevoir
Kirlia,Synchronize,97.0,8,281,Psychic,Fairy,202,38,35,35,65,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,Ralts,Kirlia,Gardevoir
Gardevoir,Synchronize,259.0,16,282,Psychic,Fairy,484,68,65,65,125,115,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,Ralts,Kirlia,Gardevoir
Surskit,Swift-Swim,54.0,5,283,Bug,Water,17,40,30,32,50,52,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,Surskit,Masquerain,No Second Evolution
Masquerain,Intimidate,159.0,8,284,Bug,Flying,36,70,60,62,100,82,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,Surskit,Masquerain,No Second Evolution
Shroomish,Effect-Spore,59.0,4,285,Grass,No Second Type,45,60,40,60,40,60,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,Shroomish,Breloom,No Second Evolution
Breloom,Effect-Spore,161.0,12,286,Grass,Fighting,392,60,130,80,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,Shroomish,Breloom,No Second Evolution
Slakoth,Truant,56.0,8,287,Normal,No Second Type,240,60,60,60,35,35,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,Slakoth,Vigoroth,Slaking
Vigoroth,Vital-Spirit,154.0,14,288,Normal,No Second Type,465,80,80,80,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,Slakoth,Vigoroth,Slaking
Slaking,Truant,252.0,20,289,Normal,No Second Type,1305,150,160,100,95,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,Slakoth,Vigoroth,Slaking
Nincada,Compound-Eyes,53.0,5,290,Bug,Ground,55,31,45,90,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,Nincada,Ninjask,No Second Evolution
Ninjask,Speed-Boost,160.0,8,291,Bug,Flying,120,61,90,45,50,50,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,Nincada,Ninjask,No Second Evolution
Shedinja,Wonder-Guard,83.0,8,292,Bug,Ghost,12,1,90,45,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Whismur,Soundproof,48.0,6,293,Normal,No Second Type,163,64,51,23,51,23,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,Whismur,Loudred,Exploud
Loudred,Soundproof,126.0,10,294,Normal,No Second Type,405,84,71,43,71,43,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,Whismur,Loudred,Exploud
Exploud,Soundproof,245.0,15,295,Normal,No Second Type,840,104,91,63,91,73,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,Whismur,Loudred,Exploud
Makuhita,Thick-Fat,47.0,10,296,Fighting,No Second Type,864,72,60,30,20,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,Makuhita,Hariyama,No Second Evolution
Hariyama,Thick-Fat,166.0,23,297,Fighting,No Second Type,2538,144,120,60,40,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,Makuhita,Hariyama,No Second Evolution
Azurill,Thick-Fat,38.0,2,298,Normal,Fairy,20,50,20,40,20,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,Azurill,Marill,Azumarill
Nosepass,Sturdy,75.0,10,299,Rock,No Second Type,970,30,45,135,45,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,Nosepass,Probopass,No Second Evolution
Skitty,Cute-Charm,52.0,6,300,Normal,No Second Type,110,50,45,45,35,35,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,Skitty,Delcatty,No Second Evolution
Delcatty,Cute-Charm,140.0,11,301,Normal,No Second Type,326,70,65,65,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,Skitty,Delcatty,No Second Evolution
Sableye,Keen-Eye,133.0,5,302,Dark,Ghost,110,50,75,75,65,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,Sableye,No First Evolution,No Second Evolution
Mawile,Hyper-Cutter,133.0,6,303,Steel,Fairy,115,50,85,85,55,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,Mawile,No First Evolution,No Second Evolution
Aron,Sturdy,66.0,4,304,Steel,Rock,600,50,70,100,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,Aron,Lairon,Aggron
Lairon,Sturdy,151.0,9,305,Steel,Rock,1200,60,90,140,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,Aron,Lairon,Aggron
Aggron,Sturdy,265.0,21,306,Steel,Rock,3600,70,110,180,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,Aron,Lairon,Aggron
Meditite,Pure-Power,56.0,6,307,Fighting,Psychic,112,30,40,55,40,55,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,Meditite,Medicham,No Second Evolution
Medicham,Pure-Power,144.0,13,308,Fighting,Psychic,315,60,60,75,60,75,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,Meditite,Medicham,No Second Evolution
Electrike,Static,59.0,6,309,Electric,No Second Type,152,40,45,40,65,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,Electrike,Manectric,No Second Evolution
Manectric,Static,166.0,15,310,Electric,No Second Type,402,70,75,60,105,60,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,Electrike,Manectric,No Second Evolution
Plusle,Plus,142.0,4,311,Electric,No Second Type,42,60,50,40,85,75,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png,Plusle,No First Evolution,No Second Evolution
Minun,Minus,142.0,4,312,Electric,No Second Type,42,60,40,50,75,85,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png,Minun,No First Evolution,No Second Evolution
Volbeat,Illuminate,151.0,7,313,Bug,No Second Type,177,65,73,75,47,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png,Volbeat,No First Evolution,No Second Evolution
Illumise,Oblivious,151.0,6,314,Bug,No Second Type,177,65,47,75,73,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png,Illumise,No First Evolution,No Second Evolution
Roselia,Natural-Cure,140.0,3,315,Grass,Poison,20,50,60,45,100,80,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png,Budew,Roselia,Roserade
Gulpin,Liquid-Ooze,60.0,4,316,Poison,No Second Type,103,70,43,53,43,53,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png,Gulpin,Swalot,No Second Evolution
Swalot,Liquid-Ooze,163.0,17,317,Poison,No Second Type,800,100,73,83,73,83,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png,Gulpin,Swalot,No Second Evolution
Carvanha,Rough-Skin,61.0,8,318,Water,Dark,208,45,90,20,65,20,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png,Carvanha,Sharpedo,No Second Evolution
Sharpedo,Rough-Skin,161.0,18,319,Water,Dark,888,70,120,40,95,40,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png,Carvanha,Sharpedo,No Second Evolution
Wailmer,Water-Veil,80.0,20,320,Water,No Second Type,1300,130,70,35,70,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png,Wailmer,Wailord,No Second Evolution
Wailord,Water-Veil,175.0,145,321,Water,No Second Type,3980,170,90,45,90,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png,Wailmer,Wailord,No Second Evolution
Numel,Oblivious,61.0,7,322,Fire,Ground,240,60,60,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png,Numel,Camerupt,No Second Evolution
Camerupt,Magma-Armor,161.0,19,323,Fire,Ground,2200,70,100,70,105,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png,Numel,Camerupt,No Second Evolution
Torkoal,White-Smoke,165.0,5,324,Fire,No Second Type,804,70,85,140,85,70,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png,Torkoal,No First Evolution,No Second Evolution
Spoink,Thick-Fat,66.0,7,325,Psychic,No Second Type,306,60,25,35,70,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png,Spoink,Grumpig,No Second Evolution
Grumpig,Thick-Fat,165.0,9,326,Psychic,No Second Type,715,80,45,65,90,110,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png,Spoink,Grumpig,No Second Evolution
Spinda,Own-Tempo,126.0,11,327,Normal,No Second Type,50,60,60,60,60,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png,Spinda,No First Evolution,No Second Evolution
Trapinch,Hyper-Cutter,58.0,7,328,Ground,No Second Type,150,45,100,45,45,45,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png,Trapinch,Vibrava,Flygon
Vibrava,Levitate,119.0,11,329,Ground,Dragon,153,50,70,50,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png,Trapinch,Vibrava,Flygon
Flygon,Levitate,260.0,20,330,Ground,Dragon,820,80,100,80,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png,Trapinch,Vibrava,Flygon
Cacnea,Sand-Veil,67.0,4,331,Grass,No Second Type,513,50,85,40,85,40,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png,Cacnea,Cacturne,No Second Evolution
Cacturne,Sand-Veil,166.0,13,332,Grass,Dark,774,70,115,60,115,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png,Cacnea,Cacturne,No Second Evolution
Swablu,Natural-Cure,62.0,4,333,Normal,Flying,12,45,40,60,40,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png,Swablu,Altaria,No Second Evolution
Altaria,Natural-Cure,172.0,11,334,Dragon,Flying,206,75,70,90,70,105,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png,Swablu,Altaria,No Second Evolution
Zangoose,Immunity,160.0,13,335,Normal,No Second Type,403,73,115,60,60,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png,Zangoose,No First Evolution,No Second Evolution
Seviper,Shed-Skin,160.0,27,336,Poison,No Second Type,525,73,100,60,100,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png,Seviper,No First Evolution,No Second Evolution
Lunatone,Levitate,161.0,10,337,Rock,Psychic,1680,90,55,65,95,85,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png,Lunatone,No First Evolution,No Second Evolution
Solrock,Levitate,161.0,12,338,Rock,Psychic,1540,90,95,85,55,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png,Solrock,No First Evolution,No Second Evolution
Barboach,Oblivious,58.0,4,339,Water,Ground,19,50,48,43,46,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png,Barboach,Whiscash,No Second Evolution
Whiscash,Oblivious,164.0,9,340,Water,Ground,236,110,78,73,76,71,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png,Barboach,Whiscash,No Second Evolution
Corphish,Hyper-Cutter,62.0,6,341,Water,No Second Type,115,43,80,65,50,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png,Corphish,Crawdaunt,No Second Evolution
Crawdaunt,Hyper-Cutter,164.0,11,342,Water,Dark,328,63,120,85,90,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png,Corphish,Crawdaunt,No Second Evolution
Baltoy,Levitate,60.0,5,343,Ground,Psychic,215,40,40,55,40,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png,Baltoy,Claydol,No Second Evolution
Claydol,Levitate,175.0,15,344,Ground,Psychic,1080,60,70,105,70,120,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png,Baltoy,Claydol,No Second Evolution
Lileep,Suction-Cups,71.0,10,345,Rock,Grass,238,66,41,77,61,87,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png,Lileep,Cradily,No Second Evolution
Cradily,Suction-Cups,173.0,15,346,Rock,Grass,604,86,81,97,81,107,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png,Lileep,Cradily,No Second Evolution
Anorith,Battle-Armor,71.0,7,347,Rock,Bug,125,45,95,50,40,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png,Anorith,Armaldo,No Second Evolution
Armaldo,Battle-Armor,173.0,15,348,Rock,Bug,682,75,125,100,70,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png,Anorith,Armaldo,No Second Evolution
Feebas,Swift-Swim,40.0,6,349,Water,No Second Type,74,20,15,20,10,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png,Feebas,Milotic,No Second Evolution
Milotic,Marvel-Scale,189.0,62,350,Water,No Second Type,1620,95,60,79,100,125,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png,Feebas,Milotic,No Second Evolution
Castform,Forecast,147.0,3,351,Normal,No Second Type,8,70,70,70,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png,Castform,No First Evolution,No Second Evolution
Kecleon,Color-Change,154.0,10,352,Normal,No Second Type,220,60,90,70,60,120,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png,Kecleon,No First Evolution,No Second Evolution
Shuppet,Insomnia,59.0,6,353,Ghost,No Second Type,23,44,75,35,63,33,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png,Shuppet,Banette,No Second Evolution
Banette,Insomnia,159.0,11,354,Ghost,No Second Type,125,64,115,65,83,63,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png,Shuppet,Banette,No Second Evolution
Duskull,Levitate,59.0,8,355,Ghost,No Second Type,150,20,40,90,30,90,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png,Duskull,Dusclops,Dusknoir
Dusclops,Pressure,159.0,16,356,Ghost,No Second Type,306,40,70,130,60,130,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png,Duskull,Dusclops,Dusknoir
Tropius,Chlorophyll,161.0,20,357,Grass,Flying,1000,99,68,83,72,87,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png,Tropius,No First Evolution,No Second Evolution
Chimecho,Levitate,159.0,6,358,Psychic,No Second Type,10,75,50,80,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png,Chingling,Chimecho,No Second Evolution
Absol,Pressure,163.0,12,359,Dark,No Second Type,470,65,130,60,75,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png,Absol,No First Evolution,No Second Evolution
Wynaut,Shadow-Tag,52.0,6,360,Psychic,No Second Type,140,95,23,48,23,48,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png,Wynaut,Wobbuffet,No Second Evolution
Snorunt,Inner-Focus,60.0,7,361,Ice,No Second Type,168,50,50,50,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png,Snorunt,Glalie,No Second Evolution
Glalie,Inner-Focus,168.0,15,362,Ice,No Second Type,2565,80,80,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png,Snorunt,Glalie,No Second Evolution
Spheal,Thick-Fat,58.0,8,363,Ice,Water,395,70,40,50,55,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png,Spheal,Sealeo,Walrein
Sealeo,Thick-Fat,144.0,11,364,Ice,Water,876,90,60,70,75,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png,Spheal,Sealeo,Walrein
Walrein,Thick-Fat,265.0,14,365,Ice,Water,1506,110,80,90,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png,Spheal,Sealeo,Walrein
Clamperl,Shell-Armor,69.0,4,366,Water,No Second Type,525,35,64,85,74,55,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png,Clamperl,Huntail,No Second Evolution
Huntail,Swift-Swim,170.0,17,367,Water,No Second Type,270,55,104,105,94,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png,Clamperl,Huntail,No Second Evolution
Gorebyss,Swift-Swim,170.0,18,368,Water,No Second Type,226,55,84,105,114,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Relicanth,Swift-Swim,170.0,10,369,Water,Rock,234,100,90,130,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png,Relicanth,No First Evolution,No Second Evolution
Luvdisc,Swift-Swim,116.0,6,370,Water,No Second Type,87,43,30,55,40,65,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png,Luvdisc,No First Evolution,No Second Evolution
Bagon,Rock-Head,60.0,6,371,Dragon,No Second Type,421,45,75,60,40,30,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png,Bagon,Shelgon,Salamence
Shelgon,Rock-Head,147.0,11,372,Dragon,No Second Type,1105,65,95,100,60,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png,Bagon,Shelgon,Salamence
Salamence,Intimidate,300.0,15,373,Dragon,Flying,1026,95,135,80,110,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png,Bagon,Shelgon,Salamence
Beldum,Clear-Body,60.0,6,374,Steel,Psychic,952,40,55,80,35,60,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png,Beldum,Metang,Metagross
Metang,Clear-Body,147.0,12,375,Steel,Psychic,2025,60,75,100,55,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png,Beldum,Metang,Metagross
Metagross,Clear-Body,300.0,16,376,Steel,Psychic,5500,80,135,130,95,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png,Beldum,Metang,Metagross
Regirock,Clear-Body,290.0,17,377,Rock,No Second Type,2300,80,100,200,50,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/377.png,Regirock,No First Evolution,No Second Evolution
Regice,Clear-Body,290.0,18,378,Ice,No Second Type,1750,80,50,100,100,200,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png,Regice,No First Evolution,No Second Evolution
Registeel,Clear-Body,290.0,19,379,Steel,No Second Type,2050,80,75,150,75,150,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/379.png,Registeel,No First Evolution,No Second Evolution
Latias,Levitate,300.0,14,380,Dragon,Psychic,400,80,80,90,110,130,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/380.png,Latias,No First Evolution,No Second Evolution
Latios,Levitate,300.0,20,381,Dragon,Psychic,600,80,90,80,130,110,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/381.png,Latios,No First Evolution,No Second Evolution
Kyogre,Drizzle,335.0,45,382,Water,No Second Type,3520,100,100,90,150,140,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/382.png,Kyogre,No First Evolution,No Second Evolution
Groudon,Drought,335.0,35,383,Ground,No Second Type,9500,100,150,140,100,90,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/383.png,Groudon,No First Evolution,No Second Evolution
Rayquaza,Air-Lock,340.0,70,384,Dragon,Flying,2065,105,150,90,150,90,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/384.png,Rayquaza,No First Evolution,No Second Evolution
Jirachi,Serene-Grace,300.0,3,385,Steel,Psychic,11,100,100,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/385.png,Jirachi,No First Evolution,No Second Evolution
Deoxys-Normal,Pressure,270.0,17,386,Psychic,No Second Type,608,50,150,50,150,50,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/386.png,No Evolution Chain,No Evolution Chain,No Evolution Chain
Turtwig,Overgrow,64.0,4,387,Grass,No Second Type,102,55,68,64,45,55,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/387.png,Turtwig,Grotle,Torterra
Grotle,Overgrow,142.0,11,388,Grass,No Second Type,970,75,89,85,55,65,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/388.png,Turtwig,Grotle,Torterra
